action_id,company_name,action_date,action_type,breach_type,breach_description,penalty_aud,outcome,regulatory_reference
AER-2021-061,AGL Energy Limited,2021-04-10,Infringement Notice,NERR,Failure to provide historical consumption data on request,20000,Penalty paid,NERR Rule 28
AER-2021-062,1st Energy Pty Ltd,2021-03-22,Court Proceedings,NERL,Unauthorised doorstep sales practices,180000,Court order - penalty imposed,NERL Section 221
AER-2021-063,Dodo Power & Gas Pty Ltd,2021-03-05,Infringement Notice,NERR,Failure to process concession card details correctly,15000,Penalty paid,NERR Rule 73
AER-2021-064,EnergyAustralia Pty Ltd,2021-02-15,Enforceable Undertaking,NERR,Systemic issues with customer complaint escalation,0,Undertaking accepted,NERR Rule 80
AER-2021-065,Red Energy Pty Ltd,2021-01-28,Infringement Notice,NERR,Failure to provide written confirmation of verbal agreements,15000,Penalty paid,NERR Rule 64
AER-2020-066,AGL Energy Limited,2020-12-15,Court Proceedings,NERL,Large-scale billing errors affecting 60000+ customers,2000000,Court order - penalty imposed,NERL Section 221
AER-2020-067,Origin Energy Limited,2020-11-20,Infringement Notice,NERR,Failure to comply with smart meter roll-out data requirements,50000,Penalty paid,NERR Rule 59A
AER-2020-068,Alinta Energy Retail Sales Pty Ltd,2020-10-30,Infringement Notice,NERR,Failure to apply best offer message on bills,25000,Penalty paid,NERR Rule 46A
AER-2020-069,EnergyAustralia Pty Ltd,2020-10-12,Infringement Notice,NER,Non-compliance with demand response mechanism requirements,60000,Penalty paid,NER Chapter 3
AER-2020-070,Sumo Power Pty Ltd,2020-09-25,Infringement Notice,NERL,Failure to honour fixed-benefit period commitments,40000,Penalty paid,NERL Section 46
AER-2020-071,Lumo Energy Australia Pty Ltd,2020-08-30,Compliance Audit,NERR,Review of COVID-19 customer support compliance,0,Audit completed - minor findings,NERR Rule 75
AER-2020-072,AGL Energy Limited,2020-08-15,Infringement Notice,NERR,Failure to waive late payment fees during COVID-19,30000,Penalty paid,NERR Rule 73
AER-2020-073,Origin Energy Limited,2020-07-22,Enforceable Undertaking,NERL,Systemic failures in customer complaints handling during COVID-19,0,Undertaking accepted,NERL Section 82
AER-2020-074,Simply Energy,2020-07-05,Infringement Notice,NERR,Incorrectly charging early termination fees during cooling-off,20000,Penalty paid,NERR Rule 47
AER-2020-075,Powershop Australia Pty Ltd,2020-06-18,Infringement Notice,NERR,Non-compliant marketing communications via SMS,15000,Penalty paid,NERR Rule 64
AER-2020-076,Tango Energy Pty Ltd,2020-05-30,Court Proceedings,NERL,Systematic overcharging of residential customers,120000,Court order - penalty imposed,NERL Section 221
AER-2020-077,EnergyAustralia Pty Ltd,2020-05-10,Infringement Notice,NERR,Failure to provide access to customer own data portal,25000,Penalty paid,NERR Rule 28
AER-2020-078,Ergon Energy Queensland Pty Ltd,2020-04-22,Infringement Notice,NERL,Non-compliance with guaranteed service level payments,30000,Penalty paid,NERL Section 90
AER-2020-079,ActewAGL Retail,2020-03-15,Compliance Audit,NERR,Review of tariff assignment practices,0,Audit completed - compliant,NERR Rule 46
AER-2020-080,AGL Energy Limited,2020-03-01,Enforceable Undertaking,NERR,Systemic issues with wrongful disconnection prevention,0,Undertaking accepted,NERR Rule 111
AER-2020-081,Globird Energy Pty Ltd,2020-02-12,Court Proceedings,NERL,Operating below minimum financial viability requirements,200000,Court order - penalty imposed,NERL Section 88
AER-2020-082,Origin Energy Limited,2020-01-25,Infringement Notice,NERR,Failure to notify customers of tariff changes within required timeframes,35000,Penalty paid,NERR Rule 46
AER-2019-083,AGL Energy Limited,2019-11-15,Court Proceedings,NERL,Wrongful disconnection of vulnerable customers,1500000,Court order - penalty imposed,NERL Section 40
AER-2019-084,EnergyAustralia Pty Ltd,2019-10-28,Infringement Notice,NERR,Failure to provide minimum payment extension offers,35000,Penalty paid,NERR Rule 34
AER-2019-085,Alinta Energy Retail Sales Pty Ltd,2019-09-12,Enforceable Undertaking,NERR,Customer transfer error affecting 5000 accounts,0,Undertaking accepted,NERR Rule 57
