obligation_id,regulatory_body,obligation_name,category,frequency,risk_rating,penalty_max_aud,source_legislation,description,key_requirements
OBL-0029,ESV,Electrical Safety Management Scheme,Safety,Annually,Critical,3600000,Electricity Safety Act Section 120,"Major electricity companies must maintain approved electrical safety management schemes","Submit ESMS to ESV; Annual review and update; Report incidents; Maintain safety documentation"
OBL-0030,ESV,Bushfire Mitigation Plan,Safety,Annually,Critical,3600000,Electricity Safety Act Section 113,"Distribution businesses must prepare and comply with bushfire mitigation plans","Submit BMP annually; Asset inspection schedules; Vegetation management; Report compliance"
OBL-0031,ESV,Electrical Installation Safety,Safety,Event-driven,High,1800000,Electricity Safety Act Section 45,"Network operators must ensure electrical installations are safe and comply with standards","Inspect installations; Issue compliance certificates; Report safety defects; Maintain records"
OBL-0032,ESV,Electric Line Clearance,Safety,Annually,Critical,3600000,Electricity Safety Act Section 84,"Responsible persons must maintain minimum clearance distances between vegetation and power lines","Maintain clearance zones; Annual vegetation management; Report hazards; Comply with code of practice"
OBL-0033,ESV,Incident Reporting to ESV,Safety,Event-driven,Critical,1800000,Electricity Safety Act Section 77,"Electricity entities must report serious electrical incidents to ESV within prescribed timeframes","Report serious incidents within 24 hours; Preserve incident scene; Investigate root cause; Submit final report"
OBL-0034,AEMO,Five Minute Settlement Data,Market,Daily,High,500000,NER Rule 3.15.6A,"Market participants must provide five-minute settlement data accurately and on time","Provide 5-min metering data; Validate data quality; Resolve data issues promptly; Support settlement"
OBL-0035,AEMO,Reliability and Emergency Reserve Trader,Market,Event-driven,High,1000000,NER Section 3.20,"Participants must comply with RERT directions during reliability events","Respond to RERT activation; Maintain contracted reserve; Report availability; Follow dispatch instructions"
OBL-0036,AER,Consumer Data Right Compliance,Consumer,Event-driven,High,1000000,Competition and Consumer Act CDR Rules,"Energy retailers and distributors must provide consumer data on request","Respond to data requests; Maintain data quality; Comply with privacy safeguards; Support data portability"
OBL-0037,AER,Standing Offer Price Publication,Consumer,Quarterly,Medium,500000,NERL Section 22,"Retailers must publish standing offer prices and terms prominently","Publish on website; Update quarterly; Clear presentation; AER-approved format"
OBL-0038,AER,Solar Feed-in Tariff Compliance,Consumer,Annually,Medium,500000,NERL Section 44,"Retailers must apply minimum feed-in tariff rates set by the relevant state regulator","Apply minimum FiT rate; Update when rates change; Correct billing for FiT; Backpay if underpaid"
OBL-0039,CER,National Greenhouse and Energy Register,Environment,Annually,High,1100000,NGER Act Section 24,"CER maintains the register and reporters must verify their entries are accurate","Verify register entries; Report corrections; Respond to CER queries; Public disclosure compliance"
OBL-0040,AEMO,System Strength Requirements,Technical,Event-driven,Critical,1000000,NER Section 5.20C,"Generators connecting to weak parts of the network must meet system strength requirements","Provide system strength services; Meet minimum fault level; Install remediation if required; Report compliance"
OBL-0041,AEMO,Voltage Control Requirements,Technical,Event-driven,High,500000,NER Section 4.4.2,"Generators must contribute to voltage regulation within their registered capability","Maintain voltage setpoints; Follow AEMO instructions; Report excursions; Test capability annually"
OBL-0042,AEMO,Protected Event EFCS Compliance,Technical,Event-driven,Critical,1000000,NER Section 4.3.5,"Participants must comply with emergency frequency control scheme settings","Maintain UFLS settings; Test EFCS relays; Report non-compliance; Coordinate with TNSP"
OBL-0043,AER,Market Conduct Rules,Market,Event-driven,Critical,10000000,NEL Section 2BA,"Market participants must not engage in conduct that materially prejudices the electricity market","No market manipulation; No false information; Report suspicious activity; Maintain trading records"
OBL-0044,AER,Distribution Network Planning,Technical,Annually,High,1000000,NER Chapter 5,"DNSPs must prepare and publish annual distribution planning reports","Publish annual planning report; Identify constraints; Consider non-network solutions; Consult stakeholders"
OBL-0045,AER,Revenue Proposal Compliance,Financial,Every 5 years,Critical,2000000,NER Chapter 6,"DNSPs and TNSPs must submit compliant revenue proposals during regulatory determination periods","Submit within timeframes; Support forecasts with evidence; Comply with AER guidelines; Implement determination"
OBL-0046,ESV,Gas Safety Case Compliance,Safety,Annually,Critical,3600000,Gas Safety Act Section 43,"Gas companies must maintain and comply with accepted gas safety cases","Submit safety case; Annual review; Report incidents; Maintain safety management system"
OBL-0047,ESV,Electrical Equipment Safety,Safety,Event-driven,High,1800000,Electricity Safety Act Section 57,"Suppliers must ensure electrical equipment sold in Victoria meets safety standards","Test against standards; Maintain compliance records; Report unsafe equipment; Product recalls if required"
OBL-0048,AEMO,Participant Compensation Fund,Financial,Annually,Medium,500000,NER Section 3.15.8,"Market participants must contribute to the participant compensation fund as required","Pay assessed contributions; Report eligible claims; Maintain financial records; Annual reconciliation"
OBL-0049,CER,Designated Generation Facility Reporting,Environment,Annually,High,2200000,NGER Act Section 22AA,"Operators of designated generation facilities must report electricity generation and emissions","Report generation by fuel type; Emissions by scope; Energy consumed in generation; Annual submission"
OBL-0050,AER,Small Generation Aggregator Framework,Market,Event-driven,Medium,500000,NER Chapter 3,"Small generation aggregators must comply with registration and dispatch requirements","Register with AEMO; Aggregate small generators; Follow dispatch instructions; Report performance"
OBL-0051,AEMO,Minimum System Load Compliance,Technical,Event-driven,High,1000000,NER Section 4.8.9,"Participants must respond to AEMO directions during minimum system load events","Follow AEMO directions; Reduce generation if directed; Report compliance; Maintain flexibility"
OBL-0052,AEMO,Interconnector Flow Compliance,Technical,Event-driven,High,500000,NER Section 3.8,"Market participants must not cause interconnector flows to exceed transfer limits","Monitor flow contributions; Follow dispatch targets; Report constraint issues; Coordinate with AEMO"
OBL-0053,AER,Customer Transfer Code Compliance,Consumer,Event-driven,Medium,500000,NERR Part 4,"Retailers must comply with customer transfer procedures and timeframes in the NER","Process transfers within timeframes; Obtain valid consent; Handle objections properly; Data quality"
OBL-0054,AER,Energy Ombudsman Scheme Participation,Consumer,Event-driven,High,500000,NERL Section 83,"Retailers and distributors must be members of relevant energy ombudsman schemes","Maintain membership; Cooperate with investigations; Implement determinations; Pay scheme fees"
OBL-0055,CER,ACCU Surrender for Safeguard,Environment,Annually,Critical,5500000,NGER Act Section 22XA,"Safeguard facilities exceeding baselines must surrender ACCUs to cover excess emissions","Monitor emissions vs baseline; Acquire ACCUs; Surrender by deadline; Report compliance"
OBL-0056,AEMO,Generator Availability Notification,Market,Daily,High,500000,NER Section 3.7.2,"Generators must notify AEMO of availability changes as soon as practicable","Update availability in bidding system; Notify of outages; Provide return-to-service estimates; Update PASA"
OBL-0057,AER,Reference Service Compliance,Financial,Annually,High,1000000,NER Chapter 6,"DNSPs must offer reference services at approved prices and comply with negotiating framework","Offer reference services; Apply approved prices; Negotiate in good faith; Publish service classification"
OBL-0058,ESV,Powerline Replacement Fund Compliance,Safety,Annually,High,1800000,Electricity Safety Act Section 90,"Distribution businesses must comply with powerline replacement program requirements","Replace SWER lines in HBRA; Meet annual targets; Report progress; Maintain asset register"
OBL-0059,AEMO,Market Ancillary Services,Market,Event-driven,High,1000000,NER Section 3.11,"Providers of ancillary services must comply with service specifications and availability requirements","Maintain FCAS capability; Follow enablement; Report non-delivery; Annual capability testing"
OBL-0060,AER,Regulated Asset Base Reporting,Financial,Annually,High,1000000,NER Chapter 6,"Network businesses must accurately report their regulated asset base to the AER","Annual RAB roll-forward; Report capex and disposals; Comply with valuation methodology; Depreciation"
OBL-0061,CER,Large-scale Generation Certificate Creation,Environment,Monthly,High,2200000,Renewable Energy Act Section 18,"Accredited power stations must create LGCs correctly and within prescribed timeframes","Create LGCs based on eligible generation; Submit within 12 months; Maintain generation records; Annual audit"
OBL-0062,AEMO,Weather and Environment Data,Technical,Daily,Medium,250000,NER Section 3.7B,"Weather-dependent generators must provide weather station data and forecasting information to AEMO","Install weather stations; Provide real-time data; Maintain data quality; Support AEMO forecasting"
OBL-0063,AER,Network Service Provider Insurance,Financial,Annually,High,1000000,NER Chapter 6,"NSPs must maintain adequate insurance coverage as approved in their revenue determination","Maintain insurance levels; Report coverage changes; Self-insurance arrangements approved by AER"
OBL-0064,ESV,Type Testing and Certification,Safety,Event-driven,High,1800000,Electricity Safety Act Section 52,"Electrical equipment must be type tested and certified before sale in Victoria","Submit for type testing; Maintain certificates; Report modifications; Product marking requirements"
OBL-0065,AEMO,Reserve Level Declaration,Market,Event-driven,Critical,1000000,NER Section 4.8.4,"AEMO must declare Lack of Reserve conditions and participants must respond to LOR notices","Monitor reserve levels; Respond to LOR notices; Make capacity available; Follow directions"
OBL-0066,AER,Cost Allocation Method,Financial,Every 5 years,High,1000000,NER Rule 6.15,"NSPs must apply AER-approved cost allocation methods when allocating shared costs","Apply approved CAM; Document allocations; Report to AER; Review methodology periodically"
OBL-0067,CER,Emissions Intensity Scheme Data,Environment,Annually,High,1100000,NGER Act Section 19A,"Electricity generators must report emissions intensity data for benchmark purposes","Calculate emissions intensity; Report by fuel and technology; Annual submission; Support baseline setting"
OBL-0068,AEMO,Constraint Formulation,Technical,Event-driven,Medium,500000,NER Section 3.8.1,"AEMO formulates constraints and TNSPs must provide accurate network data for constraint equations","Provide network parameters; Update for topology changes; Validate constraint equations; Report errors"
OBL-0069,AER,Shared Asset Guideline Compliance,Financial,Annually,Medium,500000,NER Rule 6.4.4,"NSPs must comply with the shared asset guideline when using regulated assets for unregulated purposes","Apply shared asset guideline; Report shared asset usage; Calculate cost sharing; Annual compliance"
OBL-0070,ESV,Safety Management System Audit,Safety,Annually,High,1800000,Electricity Safety Act Section 125,"Electricity companies must facilitate ESV audits of their safety management systems","Submit to ESV audits; Provide records; Implement audit findings; Report corrective actions"
OBL-0071,AEMO,Primary Frequency Response,Technical,Event-driven,Critical,1000000,NER Section 4.4.2A,"Scheduled and semi-scheduled generators must provide mandatory primary frequency response","Configure governor response; Meet PFR requirements; Report non-compliance; Annual testing"
OBL-0072,AER,Network Capital Expenditure Reporting,Financial,Annually,High,1000000,NER Chapter 6,"NSPs must report actual capital expenditure against approved forecasts","Report actual vs forecast capex; Explain material variations; Comply with incentive scheme; Annual submission"
OBL-0073,CER,National Pollutant Inventory Reporting,Environment,Annually,Medium,550000,NGER Act (cross-reference NPI Act),"Facilities must report emissions of listed substances to the National Pollutant Inventory","Identify reportable substances; Calculate emissions; Submit by reporting deadline; Public disclosure"
OBL-0074,AEMO,System Restart Ancillary Services,Technical,Event-driven,Critical,1000000,NER Section 3.11.4,"Providers of system restart services must maintain capability and test regularly","Maintain black start capability; Participate in restart exercises; Test annually; Report readiness"
OBL-0075,AER,Efficiency Benefit Sharing Scheme,Financial,Annually,High,1000000,NER Rule 6.5.8,"NSPs must comply with the efficiency benefit sharing scheme in their opex management","Track opex against benchmark; Report efficiency gains; Comply with EBSS methodology; Annual calculation"
OBL-0076,ESV,Cathodic Protection Systems,Safety,Annually,Medium,900000,Gas Safety Act Section 52,"Gas pipeline operators must maintain cathodic protection on metallic pipelines","Monitor CP levels; Annual surveys; Repair deficiencies; Maintain records"
OBL-0077,AEMO,Market Price Cap Compliance,Market,Event-driven,Critical,10000000,NER Section 3.9.4,"Market participants must not bid above the market price cap or cumulative price threshold","Bid within price cap; Monitor administered price periods; Comply with cap directions; Report compliance"
OBL-0078,AER,Service Target Performance Incentive,Financial,Annually,High,1000000,NER Rule 6.6.2,"DNSPs must report against service target performance incentive scheme measures","Track reliability metrics; Report SAIDI/SAIFI; Calculate incentive/penalty; Annual submission"
OBL-0079,CER,Carbon Credit Unit Registry,Environment,Event-driven,High,1100000,CFI Act Section 150,"Participants must maintain accurate accounts in the Australian National Registry of Emissions Units","Maintain registry account; Report transfers; Reconcile holdings; Comply with registry rules"
OBL-0080,ESV,Major Hazard Facility Compliance,Safety,Annually,Critical,3600000,Electricity Safety Act Section 130,"Operators of major hazard facilities must comply with safety case and emergency planning requirements","Maintain safety case; Emergency response plans; Regular drills; Report incidents; Annual review"
OBL-0081,AEMO,Consumer Data Right — Energy Data Sharing,Market,Monthly,Critical,10000000,Consumer Data Right Act 2019 — Energy Sector Rules,"Energy retailers and networks must securely expose customer energy data via accredited CDR APIs on request","Implement CDR API v3.0+; Consent management; Data quality validation; Monthly compliance attestation; Register with ACCC CDR"
OBL-0082,AER,Retailer Reliability Obligation (RRO),Market,Quarterly,Critical,10000000,NER Rule 4A — Retailer Reliability Obligation,"Large retailers (>100 GWh) must contract sufficient reliability instruments to cover peak demand periods","Procure reliability instruments pre-peak; Quarterly net contract position reports; Notify AER of shortfall; Comply with RRO trigger mechanism"
OBL-0083,AEMO,DER Integration — Technical Standards Compliance,Technical,Annually,High,1000000,NER Section 5.3A — DER Technical Standards,"Distributors must ensure distributed energy resources (solar, batteries, EVs) comply with AS/NZS 4777 and AEMO DER technical settings","Register DER assets; Enforce technical settings at connection; Annual DER audit; Report non-compliant devices; Update DER register"
OBL-0084,AEMC,Rule Change Participation — Mandatory Consultation,Market,As required,High,500000,NEL Section 88 — AEMC Rule Change Process,"Affected market participants must engage with AEMC rule change consultations that materially affect their operations","Monitor AEMC rule change register; Submit formal responses to material changes; Attend open consultations; Track implementation timelines"
OBL-0085,AER,Default Market Offer (DMO) Price Compliance,Consumer,Annually,Critical,5000000,NERL Part 2 — Retail Compliance,"Electricity retailers in regulated regions must not charge standing offer customers above the DMO reference price","Publish DMO-compliant standing offers; Annual price review; AER notification 10 days before changes; Customer communication; Record-keeping 3 years"
OBL-0086,CER,Safeguard Mechanism — Annual Baseline Report,Environment,Annually,Critical,660000,NGER Act Section 22XN — Safeguard Mechanism,"Covered facilities (>100 kt CO2-e) must surrender eligible carbon credits or face penalties if emissions exceed baseline","Annual EERS submission by 31 October; Surrender ACCUs/SMCs if in excess; Report production variables; Notify CER of facility changes"
OBL-0087,AEMO,Five-Minute Settlement Compliance,Market,Event-driven,High,5000000,NER Rule 3.15 — Five-Minute Settlement,"All metering installations and market participants must comply with five-minute settlement dispatch and metering requirements","Install 5-minute interval meters; Align dispatch with settlement periods; Test telemetry; Report settlement deviations"
OBL-0088,AER,Electricity Network Ring-Fencing,Financial,Annually,High,2000000,NER Rule 6.17 / 6A.30 — Ring-Fencing,"Network service providers must maintain structural, legal and accounting separation from related electricity businesses","Separate accounts; Independent board members; No cross-subsidisation; Annual ring-fencing compliance report; Notify AER of related-party transactions"
